meshblock_id,census_id,full_time,not_in_the_labour_force,part_time,status_unidentifiable,total,total_stated,unemployed
1204000,1,6,0,0,0,6,6,0
1204100,1,0,0,0,0,6,0,0
1204200,1,0,0,0,0,0,0,0
1204300,1,15,21,6,0,45,45,3
1204401,1,9,0,3,6,18,12,0
1204403,1,27,39,3,3,72,72,0
1204404,1,51,120,24,6,210,204,9
1204502,1,0,0,0,0,0,0,0
1204508,1,0,0,0,0,0,0,0
1204510,1,0,0,0,0,0,0,0
1204511,1,0,0,0,0,0,0,0
1204512,1,0,0,0,0,0,0,0
1204513,1,0,0,0,0,0,0,0
1204514,1,0,0,0,0,0,0,0
1204515,1,0,0,0,0,0,0,0
1204516,1,0,0,0,0,0,0,0
1204517,1,0,0,0,0,0,0,0
1204602,1,66,33,21,6,138,132,9
1204603,1,18,9,6,3,39,36,3
1204604,1,9,12,6,3,30,30,3
1204605,1,27,12,6,3,51,45,3
1204702,1,36,15,15,0,72,72,3
1204704,1,69,51,21,6,162,159,9
1204705,1,42,39,15,0,111,108,15
1204707,1,60,48,24,9,147,138,6
1204708,1,63,69,27,6,174,168,9
1204709,1,75,72,18,12,180,168,3
1204710,1,51,30,18,3,111,108,9
1204711,1,114,63,33,3,240,234,24
1204712,1,30,27,9,6,81,72,6
1204713,1,36,30,15,3,99,93,9
1204714,1,39,24,15,6,90,84,6
1204806,1,24,18,12,0,57,54,0
1204811,1,21,15,12,0,45,42,0
1204812,1,27,21,12,6,66,60,3
1204813,1,36,12,6,3,66,60,3
1204814,1,27,12,9,0,48,48,3
1204815,1,33,9,3,6,54,51,3
1204816,1,45,30,15,6,105,99,9
1204817,1,24,15,6,3,48,45,0
1204818,1,12,3,3,0,18,18,0
1204819,1,27,15,6,3,54,54,3
1204820,1,9,9,6,3,24,24,3
1204821,1,15,12,3,0,30,30,0
1204822,1,12,6,3,0,21,21,0
1204823,1,24,15,12,0,54,57,3
1204824,1,18,6,3,0,27,30,3
1204825,1,21,12,9,3,48,45,3
1204826,1,15,18,6,0,45,45,3
1204827,1,27,18,9,6,63,57,3
1204828,1,15,12,6,0,39,39,3
1204912,1,36,63,15,3,120,117,0
1204915,1,21,39,12,0,75,75,6
1204917,1,33,51,9,6,114,108,12
1204918,1,42,69,12,6,129,126,0
1204920,1,54,81,15,0,156,159,9
1204921,1,45,66,15,0,138,135,12
1204922,1,63,39,12,3,123,117,3
1204923,1,24,21,9,0,57,57,3
1204924,1,0,138,3,0,138,141,0
1204925,1,3,255,9,3,267,267,0
1204926,1,21,6,12,0,42,39,3
1204927,1,0,0,0,0,3,0,0
1204928,1,0,0,0,0,0,0,0
1204929,1,0,0,0,0,0,0,0
1204930,1,0,0,0,0,0,0,0
1204931,1,0,0,0,0,0,0,0
1204932,1,0,0,0,0,0,0,0
1204933,1,0,0,0,0,0,0,0
1204934,1,24,15,12,3,54,51,0
1204935,1,15,24,9,0,54,54,3
1204936,1,27,12,12,3,54,54,6
1204937,1,27,24,9,6,69,66,3
1204938,1,30,12,9,0,51,51,3
1204939,1,21,15,6,0,45,42,3
1204940,1,12,21,3,0,45,42,3
1204941,1,9,39,3,0,51,51,3
1204942,1,15,18,6,0,42,39,0
1204943,1,18,21,3,3,45,45,0
1204944,1,30,21,9,0,60,60,3
1204945,1,30,18,6,0,54,51,0
1204946,1,6,9,0,0,18,21,0
1204947,1,15,39,3,12,69,60,3
1204948,1,18,18,6,0,48,45,3
1204949,1,9,21,6,0,36,33,0
1204950,1,18,18,6,3,48,42,0
1204951,1,15,30,0,0,48,45,0
1204952,1,18,24,6,0,48,48,3
1204953,1,18,21,0,0,39,39,0
1204954,1,21,24,9,0,51,48,0
1204955,1,12,18,6,0,39,39,3
1204956,1,6,24,0,0,36,36,3
1205005,1,0,0,0,0,0,0,0
1205009,1,45,30,18,0,105,105,9
1205011,1,51,21,18,0,93,96,3
1205012,1,78,48,12,9,156,150,12
1205015,1,60,51,15,0,132,132,6
1205019,1,15,33,12,6,69,63,0
1205023,1,54,39,18,0,117,117,6
1205024,1,60,45,15,9,141,132,12
1205025,1,21,21,6,3,51,48,3
1205026,1,42,33,18,3,105,102,12
1205027,1,63,42,18,0,123,123,3
1205028,1,48,33,15,3,105,102,9
1205029,1,69,45,15,3,138,135,9
1205030,1,66,27,12,6,117,111,3
1205031,1,51,33,27,3,114,114,3
1205032,1,33,21,15,0,72,72,0
1205035,1,30,45,9,0,87,90,3
1205036,1,72,36,18,3,135,132,6
1205037,1,45,33,12,0,96,96,3
1205038,1,15,12,9,0,36,36,0
1205039,1,39,39,6,0,93,93,3
1205040,1,18,12,9,0,39,36,0
1205041,1,27,30,6,0,66,66,3
1205042,1,45,45,18,0,108,111,3
1205044,1,39,33,12,0,87,87,0
1205047,1,0,0,0,0,12,12,0
1205050,1,54,30,27,0,120,117,6
1205051,1,45,39,9,3,108,105,9
1205052,1,57,39,24,3,129,126,6
1205053,1,18,3,3,0,27,27,3
1205054,1,21,15,9,3,51,48,3
1205057,1,18,21,6,0,48,45,0
1205058,1,27,30,3,0,60,60,3
1205059,1,27,24,9,0,60,60,3
1205060,1,0,0,0,0,9,9,0
1205061,1,57,33,18,0,117,114,6
1205062,1,24,24,9,6,78,75,18
1205063,1,30,12,9,0,57,57,6
1205064,1,18,45,9,0,75,75,3
1205065,1,27,27,9,0,66,66,3
1205066,1,18,24,6,0,48,48,0
1205067,1,18,30,12,0,60,57,0
1205068,1,21,15,6,0,42,39,0
1205069,1,9,30,3,0,42,42,0
1205070,1,21,24,9,0,51,54,0
1205071,1,0,0,0,0,6,6,0
1205072,1,0,0,0,0,6,9,0
1205073,1,0,0,0,0,0,0,0
1205074,1,0,0,0,0,0,0,0
1205075,1,0,0,0,0,0,0,0
1205076,1,0,0,0,0,0,0,0
1205077,1,0,0,0,0,0,0,0
1205078,1,27,18,12,3,63,63,6
1205079,1,6,0,0,0,6,6,0
1205080,1,0,0,0,0,6,0,0
1205081,1,12,18,9,0,45,45,3
1205082,1,33,21,9,0,60,60,0
1205083,1,0,0,0,0,0,0,0
1205084,1,0,0,0,0,3,0,0
1205085,1,42,21,15,0,87,87,9
1205086,1,0,0,0,0,6,9,0
1205087,1,36,24,9,0,69,69,0
1205088,1,0,0,0,0,0,0,0
1205089,1,0,0,0,0,0,0,0
1205090,1,0,0,0,0,0,0,0
1205091,1,24,6,9,0,42,42,3
1205092,1,9,9,0,0,18,18,0
1205093,1,0,0,0,0,3,0,0
1205094,1,0,0,0,0,0,0,0
1205095,1,15,12,3,3,33,30,0
1205096,1,18,12,6,3,36,36,3
1205097,1,3,6,6,0,12,15,0
1205098,1,9,3,3,0,15,15,0
1205102,1,0,0,0,0,3,0,0
1205103,1,15,12,3,6,42,33,3
1205104,1,12,9,9,3,36,33,3
1205105,1,21,27,9,0,69,66,9
1205106,1,21,18,6,0,48,48,6
1205200,1,12,9,6,0,33,33,0
1205300,1,51,36,24,0,120,123,9
1205401,1,30,21,12,0,66,69,3
1205403,1,60,87,24,0,180,180,9
1205404,1,36,51,9,3,99,96,3
1205405,1,63,78,24,3,171,168,6
1205406,1,36,72,12,0,123,123,3
1205407,1,48,84,9,9,156,147,6
1205408,1,24,51,6,3,87,84,0
1205409,1,0,0,0,0,0,0,0
1205501,1,0,0,0,0,3,0,0
1205502,1,6,6,0,0,12,9,3
1205601,1,6,9,0,0,12,12,0
1205602,1,9,18,3,0,36,33,3
1205603,1,0,0,0,0,0,0,0
1205700,1,0,0,0,0,0,0,0
1205800,1,0,0,0,0,0,0,0
1205900,1,69,24,18,6,123,117,6
1206001,1,0,0,0,0,6,6,0
1206002,1,39,15,18,3,78,75,3
1206003,1,51,18,12,3,90,84,3
1206004,1,45,12,15,0,75,75,0
1206100,1,0,0,0,0,0,0,0
1206202,1,39,21,9,0,75,72,0
1206203,1,15,9,6,0,33,33,3
1206204,1,6,0,3,0,15,15,0
1206302,1,15,6,6,3,27,27,0
1206305,1,27,24,12,3,78,72,6
1206306,1,9,3,6,0,18,15,0
1206307,1,9,12,3,0,24,24,0
1206308,1,21,6,6,0,36,36,3
1206309,1,12,12,9,0,30,30,0
1206310,1,6,0,0,0,12,12,3
1206311,1,0,0,0,0,3,0,0
1206312,1,0,0,0,0,6,6,0
1206313,1,0,0,0,0,0,0,0
1206314,1,0,0,0,0,0,0,0
1206315,1,0,0,0,0,3,0,0
1206316,1,15,3,3,0,24,27,0
1206317,1,0,0,0,0,3,0,0
1206318,1,0,0,0,0,6,6,0
1206319,1,3,3,3,0,12,12,0
1206320,1,21,12,6,0,42,42,0
1206321,1,0,0,0,0,9,6,0
1206322,1,0,0,0,0,9,9,0
1206323,1,6,3,3,0,12,15,0
1206401,1,33,15,9,0,60,57,3
1206402,1,63,42,21,12,147,132,3
1206403,1,27,12,3,0,42,39,3
1206501,1,48,21,12,0,84,84,3
1206503,1,0,0,0,0,6,6,0
1206504,1,12,3,0,3,21,18,0
1206505,1,0,0,0,0,6,6,0
1206600,1,15,6,6,0,27,24,0
1206701,1,0,0,0,0,3,0,0
1206703,1,96,54,30,6,192,186,9
1206704,1,57,63,21,15,174,156,18
1206705,1,51,30,12,3,105,102,9
1206806,1,12,3,3,0,21,18,3
1206807,1,27,9,6,0,42,42,0
1206811,1,36,30,15,0,84,84,6
1206812,1,66,33,9,3,117,111,6
1206813,1,45,33,15,3,111,111,15
1206815,1,51,36,15,3,117,114,12
1206816,1,54,48,24,6,144,138,15
1206817,1,51,51,15,18,147,132,15
1206819,1,36,27,12,0,90,87,12
1206820,1,54,21,18,0,102,102,12
1206821,1,27,18,6,0,57,57,6
1206822,1,57,30,21,0,117,117,6
1206823,1,36,21,9,0,75,75,9
1206830,1,15,33,9,0,60,60,3
