meshblock_id,census_year_id,not_further_defined,other_types,separate_houses,total,two_or_more_flats
0048403,1,0,0,0,0,0
0048404,1,12,6,30,48,0
0048405,1,0,0,0,0,0
0048406,1,0,0,0,0,0
0048407,1,0,0,0,3,0
0048408,1,9,0,42,57,3
0048409,1,6,0,45,57,6
0048410,1,3,0,51,57,3
0048500,1,3,3,18,21,0
0048601,1,0,0,0,0,0
0048602,1,0,0,0,6,0
0048701,1,0,0,0,0,0
0048702,1,0,0,27,27,0
0048800,1,0,0,9,9,0
0048900,1,3,0,9,12,0
0049000,1,3,0,21,24,0
0049102,1,3,0,18,21,0
0049103,1,0,0,0,0,0
0049104,1,0,0,0,0,0
0049105,1,0,0,0,0,0
0049203,1,0,0,0,0,0
0049204,1,12,0,66,84,6
0049205,1,0,0,0,0,0
0049206,1,6,0,30,39,3
0049302,1,3,0,54,63,3
0049303,1,0,0,0,6,0
0049304,1,3,0,15,21,6
0049305,1,0,0,9,9,0
0049306,1,0,0,24,24,0
0049307,1,0,0,15,18,0
0049401,1,3,0,45,48,0
0049403,1,0,0,0,6,0
0049404,1,0,0,0,0,0
0049405,1,0,0,21,27,3
0049406,1,3,0,15,33,12
0049407,1,0,0,15,24,6
0049501,1,0,0,0,0,0
0049502,1,0,0,0,0,0
0049503,1,0,0,0,0,0
0049504,1,3,0,15,18,0
0049505,1,0,0,9,9,0
0049506,1,3,0,9,15,0
0049507,1,0,0,15,12,0
0049600,1,6,0,39,45,3
0049700,1,6,0,87,102,6
0049801,1,3,3,33,48,9
0049802,1,6,0,81,90,0
0049901,1,0,0,27,24,0
0049903,1,0,0,0,0,0
0049904,1,0,0,9,9,0
0049905,1,3,0,15,18,0
0050001,1,3,0,9,12,3
0050002,1,0,0,0,3,0
0050003,1,0,0,15,18,3
0050004,1,0,0,0,6,0
0050100,1,9,0,75,93,9
0050201,1,0,0,0,6,0
0050202,1,0,0,0,3,0
0050303,1,3,0,24,30,6
0050304,1,3,0,15,21,3
0050305,1,0,0,24,27,0
0050306,1,3,0,18,27,9
0050307,1,3,0,15,21,3
0050308,1,3,0,9,12,3
0050309,1,3,0,15,24,6
0050310,1,0,0,18,18,3
0050311,1,0,3,12,18,0
0050400,1,0,0,18,27,6
0050501,1,0,0,0,3,0
0050502,1,0,0,0,0,0
0050503,1,0,0,0,3,0
0050602,1,0,0,0,0,0
0050603,1,0,0,0,3,0
0050604,1,0,0,0,3,0
0050605,1,0,0,15,15,0
0050701,1,0,0,0,6,0
0050703,1,0,0,0,0,0
0050704,1,0,0,0,0,0
0050705,1,3,0,12,15,3
0050706,1,0,0,0,0,0
0050707,1,0,0,0,0,0
0050708,1,0,0,0,6,0
0050802,1,0,0,0,0,0
0050803,1,0,0,6,6,0
0050804,1,0,0,27,30,0
0050805,1,0,0,0,3,0
0050806,1,0,0,0,6,0
0050901,1,0,0,0,0,0
0050902,1,0,0,0,6,0
0051000,1,0,0,0,0,0
0051101,1,0,0,0,6,0
0051102,1,0,0,0,3,0
0051201,1,0,0,30,33,3
0051202,1,0,0,18,27,6
0051300,1,3,0,45,54,9
0051401,1,3,0,39,45,3
0051402,1,0,0,0,9,0
0051403,1,6,0,21,27,3
0051405,1,0,0,0,0,0
0051406,1,3,0,42,57,9
0051407,1,0,0,24,30,3
0051408,1,0,0,30,48,15
0051409,1,3,0,27,30,6
0051501,1,0,0,18,21,0
0051502,1,0,0,15,18,3
0051504,1,0,0,0,3,0
0051505,1,0,27,12,36,0
0051506,1,0,0,9,9,0
0051507,1,6,0,3,12,0
0051508,1,0,0,0,0,0
0051601,1,3,0,18,24,3
0051602,1,0,0,0,3,0
0051700,1,3,0,15,18,0
0051800,1,0,0,12,12,0
0051900,1,0,0,0,6,0
0052001,1,0,3,12,12,0
0052002,1,0,0,9,9,0
0052100,1,3,0,12,12,0
0052200,1,0,0,0,0,0
0052300,1,0,0,24,27,0
0052400,1,0,0,0,3,0
0052501,1,0,0,0,3,0
0052502,1,0,0,0,6,0
0052600,1,0,0,0,3,0
0052700,1,0,0,18,21,3
0052800,1,6,0,15,18,0
0052902,1,0,3,30,33,0
0052903,1,0,0,21,21,0
0052904,1,0,0,24,27,3
0052905,1,0,0,15,21,3
0052906,1,0,0,24,24,0
0052907,1,0,0,21,24,3
0053001,1,0,0,39,42,3
0053002,1,0,0,27,33,3
0053003,1,0,0,24,27,0
0053004,1,0,0,27,30,3
0053005,1,0,0,27,27,0
0053101,1,3,0,36,39,3
0053102,1,0,0,12,12,0
0053200,1,3,0,33,42,6
0053301,1,0,0,24,24,0
0053303,1,0,0,18,24,6
0053304,1,6,0,51,66,9
0053305,1,3,0,27,33,3
0053403,1,0,0,39,57,18
0053404,1,6,0,39,69,21
0053405,1,6,0,12,30,15
0053406,1,3,0,48,66,15
0053407,1,3,0,48,63,12
0053408,1,0,0,12,15,0
0053502,1,3,0,3,12,0
0053503,1,3,0,12,21,6
0053504,1,0,0,21,24,0
0053505,1,0,0,9,12,0
0053506,1,0,0,15,21,3
0053507,1,0,0,0,0,0
0053508,1,0,0,12,9,0
0053509,1,0,0,27,27,0
0053600,1,0,0,0,0,0
0053700,1,12,0,15,39,9
0053800,1,6,3,6,18,3
0053900,1,6,0,30,48,9
0054000,1,9,0,15,42,18
0054100,1,0,0,0,6,0
0054200,1,24,0,33,81,24
0054300,1,0,0,0,6,0
0054400,1,3,0,51,75,21
0054501,1,9,0,39,66,15
0054502,1,3,0,18,24,3
0054600,1,12,0,3,18,3
0054700,1,9,0,15,36,9
0054801,1,3,0,27,45,15
0054802,1,9,0,45,66,15
0054900,1,3,0,15,18,0
0055000,1,3,0,6,12,0
0055100,1,3,0,9,12,0
0055200,1,9,0,24,30,0
0055300,1,3,0,21,27,3
