meshblock_id,census_year_id,full_and_part_time,full_time,not_stated,not_studying,part_time,total,total_stated
2976403,2,0,0,3,12,0,15,15
2976404,2,0,0,3,9,0,12,12
2976405,2,0,6,9,42,3,51,45
2976500,2,0,6,0,9,0,12,12
2976600,2,0,6,3,90,9,105,105
2976701,2,0,3,0,9,0,15,15
2976702,2,0,0,0,0,0,3,0
2976800,2,0,3,6,60,9,78,72
2976900,2,0,0,0,6,0,9,12
2977000,2,0,0,0,0,0,0,0
2977100,2,0,3,0,6,0,12,12
2977201,2,0,0,0,6,0,6,9
2977202,2,0,3,0,9,0,12,12
2977300,2,0,0,0,0,0,0,0
2977400,2,0,0,0,0,0,0,0
2977502,2,0,3,3,6,3,12,9
2977503,2,0,3,3,33,3,42,42
2977505,2,0,3,9,30,0,42,33
2977506,2,0,0,0,0,0,0,0
2977507,2,0,0,0,0,0,0,0
2977508,2,0,0,0,6,0,9,9
2977600,2,0,6,9,63,3,81,72
2977701,2,0,3,0,63,9,75,75
2977702,2,0,0,0,6,0,9,6
2977800,2,0,0,3,12,0,15,15
2977900,2,0,15,15,138,6,168,156
2978000,2,0,3,6,66,9,87,81
2978100,2,0,0,0,18,0,21,21
2978200,2,0,0,12,87,3,105,93
2978300,2,0,0,3,21,0,24,24
2978401,2,0,6,6,27,0,36,33
2978402,2,0,3,9,45,6,60,57
2978403,2,0,9,3,36,6,57,54
2978500,2,0,6,9,57,6,78,66
2978600,2,0,18,6,102,3,129,123
2978700,2,0,6,6,48,3,63,60
2978800,2,0,12,6,114,15,150,141
2978900,2,0,6,3,72,0,81,78
2979000,2,0,3,6,66,3,84,75
2979100,2,0,3,3,33,3,45,42
2979200,2,0,6,6,63,6,81,75
2979300,2,0,0,3,24,3,33,30
2979400,2,0,9,12,99,9,135,120
2979500,2,0,6,3,144,9,162,159
2979600,2,0,3,0,24,3,33,33
2979701,2,0,3,0,9,3,15,15
2979702,2,0,3,0,15,0,18,18
2979801,2,0,0,0,6,0,6,9
2979802,2,0,0,3,30,6,42,39
2979900,2,0,6,3,30,3,39,39
2980000,2,0,3,6,69,6,84,75
2980100,2,0,0,0,0,0,0,0
2980201,2,0,0,0,9,0,9,9
2980202,2,0,3,0,42,3,45,45
2980203,2,0,3,0,12,0,12,12
2980302,2,0,3,3,48,0,57,57
2980303,2,0,0,0,0,0,0,0
2980304,2,0,0,0,0,0,0,0
2980305,2,0,6,3,39,3,51,48
2980402,2,0,3,0,18,0,21,21
2980403,2,0,6,3,39,3,51,48
2980404,2,0,3,12,30,3,48,36
