meshblock_id,census_year_id,females,males,total
72801,1,0,0,0
72802,1,42,33,75
72900,1,9,15,24
73001,1,24,24,48
73002,1,39,54,93
73003,1,21,24,45
73004,1,33,39,72
73005,1,27,18,45
73006,1,0,0,0
73101,1,15,12,27
73102,1,24,30,54
73103,1,9,12,24
73104,1,3,6,12
73105,1,6,6,15
73200,1,15,12,27
73301,1,0,0,0
73302,1,24,18,42
73400,1,36,24,60
73501,1,81,84,165
73503,1,78,78,156
73504,1,45,48,93
73505,1,90,87,177
73601,1,81,84,168
73602,1,81,66,150
73701,1,30,24,54
73703,1,27,45,72
73704,1,30,30,60
73705,1,24,24,45
73706,1,33,42,75
73802,1,15,12,24
73803,1,0,0,0
73805,1,18,18,33
73806,1,99,102,201
73900,1,96,75,171
74001,1,15,18,33
74002,1,0,0,0
74004,1,0,0,0
74005,1,27,27,54
74101,1,27,18,48
74102,1,111,108,216
74203,1,45,42,87
74204,1,45,45,90
74205,1,30,30,60
74206,1,21,24,42
74207,1,42,45,87
74208,1,30,42,72
74209,1,33,30,63
74210,1,24,27,51
74211,1,27,24,51
74304,1,63,69,132
74305,1,42,39,81
74306,1,36,39,72
74307,1,12,15,30
74308,1,30,39,66
74309,1,18,24,42
74310,1,21,24,45
74311,1,6,9,15
74312,1,18,15,33
74400,1,0,0,0
74501,1,0,0,3
74502,1,0,0,0
74601,1,66,69,132
74602,1,3,3,9
74701,1,0,0,0
74702,1,24,18,42
74703,1,45,42,90
74704,1,30,27,57
74801,1,33,36,69
74802,1,9,15,24
74803,1,33,33,69
74900,1,75,87,162
75001,1,60,57,117
75002,1,12,9,21
75100,1,27,24,48
75200,1,72,60,132
75300,1,114,120,234
75401,1,24,30,54
75402,1,24,24,51
75403,1,24,27,51
75404,1,21,21,42
75500,1,30,36,66
75601,1,42,45,87
75602,1,15,12,24
75700,1,9,9,15
75800,1,0,0,3
75900,1,12,15,30
76000,1,3,3,9
76100,1,0,0,0
76200,1,21,18,42
76300,1,60,54,117
76400,1,69,60,126
76500,1,18,24,45
76600,1,0,0,0
76701,1,3,3,6
76703,1,0,0,0
76704,1,0,0,0
76800,1,0,0,0
76901,1,0,0,0
76902,1,6,15,24
77000,1,57,69,126
77100,1,39,54,93
77200,1,39,33,72
77300,1,9,6,18
77400,1,6,12,21
77500,1,21,27,45
