meshblock_id,census_year_id,couple_with_children,couple_without_children,one_parent,total
65101,1,0,0,0,0
65102,1,0,0,0,0
65200,1,18,12,6,36
65300,1,6,9,3,15
65400,1,9,6,3,15
65500,1,6,6,3,15
65600,1,21,15,12,45
65700,1,9,0,0,9
65800,1,6,6,3,12
65900,1,0,0,0,3
66000,1,0,0,0,3
66100,1,3,3,3,9
66200,1,3,6,0,6
66300,1,12,3,6,18
66400,1,0,0,6,6
66500,1,6,3,3,12
66600,1,6,0,9,15
66700,1,0,0,0,3
66800,1,9,0,3,12
66900,1,3,3,3,9
67000,1,0,0,0,0
67100,1,0,0,0,0
67200,1,0,0,0,0
67300,1,6,3,0,12
67400,1,12,3,3,18
67500,1,3,3,3,6
67600,1,6,9,0,15
67700,1,0,0,0,6
67800,1,21,9,3,30
67900,1,9,3,3,12
68000,1,0,0,0,0
68100,1,0,0,0,0
68200,1,6,0,6,12
68300,1,0,0,0,3
68400,1,18,9,6,30
68500,1,15,6,0,18
68600,1,15,9,3,27
68700,1,15,6,3,27
68801,1,33,15,6,54
68802,1,27,3,3,36
68900,1,18,18,6,42
69000,1,18,9,6,33
69100,1,24,15,6,48
69201,1,18,15,0,30
69202,1,0,0,0,3
69300,1,27,24,9,57
69402,1,0,0,0,0
69403,1,3,3,3,9
69404,1,0,0,0,6
69500,1,15,12,9,33
69603,1,15,27,0,45
69604,1,0,0,0,0
69606,1,0,0,0,6
69607,1,12,12,0,21
69608,1,0,9,3,12
69609,1,18,15,3,30
69700,1,12,6,6,24
